ITEMNAME,DEPNAME,MAINUPC,SIZENAME,PACKNAME,CURRENTCOST,PRICEPERUNIT,TOTALQTY
CALI LONG BEACH CAN,Beer,12354013476,355ml,4-Pack,8.66,10.99,0
CALI SMOKIN STRAW CAN,Beer,12354013636,355ml,4-Pack,8.66,10.99,0
BUD ICE BTL,Beer,18200006463,12 OZ,6-Pack,6.04,7.27,0
ODOULS BTL,Beer,18200007842,Non- Alc,6-Pack,6.58,9.38,6
BUD LIGHT BTL,Beer,18200008337,12 OZ,6-Pack,7,9.38,1
BUDWEISER BTL,Beer,18200008344,12 OZ,6-Pack,7,9.38,2
RITAS STRAW-BER-RITA CAN,Beer,18200008559,16 OZ,,1.42,1.88,25
MICHELOB ULTRA BTL,Beer,18200059896,12 OZ,6-Pack,7.56,10.32,9
BUD LIGHT LIME BTL,Beer,18200149917,12 OZ,6-Pack,7.6,10.32,4
BUD LIGHT LIME CAN 12 PK,Beer,18200159831,12 OZ,12-Pack,14.05,17.99,2
BUD LIGHT PLATINUM BTL,Beer,18200189937,12 OZ,6-Pack,7.22,9.38,2
BUDWEISER CAN,Beer,18200250002,25 OZ,,1.44,1.98,200
BUD LIGHT CAN,Beer,18200250019,25 OZ,,1.44,1.98,27
BUSCH BEER,Beer,18200250033,25 OZ,,0.82,1.17,150
BUD ICE CAN,Beer,18200250064,25 OZ,,0.94,1.26,857
BUSCH ICE CAN,Beer,18200250071,25 OZ,,0.82,1.17,1007
NATURAL ICE CAN,Beer,18200250088,25 OZ,,1.24,1.88,5
BUD LIGHT LIME CAN,Beer,18200250095,25 OZ,,1.76,2.44,33
RITAS LIME-A-RITA CAN,Beer,18200250149,25 OZ,,2.27,3.28,23
RITAS STRAW-BERR-ITA CAN,Beer,18200255052,25 OZ,,2.27,3.28,40
RITAS MANGO-RITA CAN,Beer,18200255328,16 OZ,,1.42,1.88,27
RITAS MANGO-RITA CAN,Beer,18200255335,25 OZ,,2.27,3.28,31
RITAS CRAN BER RITA CAN,Beer,18200255380,25 OZ,,2.27,3.28,15
BEST DAM ROOT BEER 12OZ,Beer,18200258015,12 OZ,,1.29,1.85,0
RITAS BERRY A RITA,Beer,18200258336,25 OZ,,1.82,3.28,0
RITAS CRANBERITA CAN,Beer,18200258404,16 OZ,,1.42,1.88,24
RITAS WATERMELON RITA,Beer,18200259081,25 OZ,,2.27,3.28,24
PRESIDENTE LAGER CAN,Beer,18200260766,25 OZ,,1.68,2.35,0
PRESIDENTE LAGER BTL,Beer,18200260773,40 OZ,,3.02,3.99,6
STELLA ARTOS CAN,Beer,18200261244,25 OZ,,2.23,3.05,12
NEON PUNCH BLAST CAN,Beer,18200262975,25 OZ,,1.97,2.63,5
NUTRL PINEAPPLE CAN,Beer,18200263866,24 OZ,,3,3.75,11
RITAS PINEAPPLE CAN,Beer,18200264672,16 OZ,,1.2,1.88,1
RITAS PINA A RITA CAN,Beer,18200264689,25 OZ,,2.27,3.28,4
RITAS LEMON-ADE-RITA CAN,Beer,18200959998,25 OZ,,2.27,3.28,22
RITAS LEMON-ADE-RITA CAN,Beer,18200960031,16 OZ,,1.42,1.88,23
MICHELOB CAN 30 PACK,Beer,18200965500,12 OZ,30-Pack,30,31.99,0
OCULTO 25OZ,Beer,18200969102,25 OZ,,1.92,2.57,0
BUD LIGHT BTL,Beer,1845628,18 OZ,,1.09,1.5,0
BUDWEISER ALLU.,Beer,1847325,16 OZ,,0.95,1.27,186
MODELITO BTL,Beer,33544000212,7 OZ,24-Pack,21.5,25.99,5
MODELO CHELADA MANGO,Beer,33544000267,24 OZ,,2.75,3.66,26
MODELO CHELADA PICANTE CAN,Beer,33544000809,24 OZ,,2.75,3.66,24
MODELO LIMON SAL CAN 12 PK,Beer,33544001301,12 OZ,12-Pack,15.95,20.99,19
MODELO CHELADA NARANJA CAN,Beer,33544001585,24 OZ,,2.75,3.66,11
CORONA PREMIER CAN,Beer,33544001615,12 OZ,Single,1.22,1.88,-30
VICKY CHAMOY CAN,Beer,33544001745,24 OZ,,2.75,3.38,7
MODELO CHELADA VERIETY PACK,Beer,33544001776,12 OZ,12-Pack,15.5,21.99,0
MODELO SANDIA CAN,Beer,33544001875,24 OZ,,2.75,3.66,9
MODELO CHELADA CAN,Beer,33544001882,12 OZ,12-Pack,15.5,20.99,5
MODELO FRESCAS ASSORTED CAN,Beer,33544001981,12 OZ,,1.42,1.88,-5
MODELO CHELADA AGUAS,Beer,33544002025,24 OZ,,2.75,3.66,2
VICTORIA CAN,Beer,33544002070,24 OZ,,2.58,3.38,0
CORONA SUNBREW BTL,Beer,33544002384,12 OZ,6-Pack,7.88,10.32,9
CORONA SUNBREW BTL 12 PACK,Beer,33544002421,12 OZ,12-Pack,15.75,19.99,12
CORONA SUNBREW CAN,Beer,33544002445,24 OZ,,2.75,3.52,0
VICTORIA BTL,Beer,33544950258,32 OZ,,3.17,4.2,0
PACIFICO CLARA CAN 12 PK,Beer,33544950319,12 OZ,12-Pack,15.42,18.99,6
CORONA PREMIER BTL,Beer,33544950418,12 OZ,6-Pack,7.88,10.32,11
CORONA PREMIER BTL,Beer,33544950425,12 OZ,12-Pack,15.68,18.99,0
CORONA FAMILIER BTL,Beer,33544950517,12 OZ,6-Pack,7.88,10.32,13
MODELO CHELADA LIMON,Beer,33544950609,24 OZ,,2.75,3.66,50
MODELO ESPECIAL BTL,Beer,33544950906,32 OZ,,3.25,4.22,30
MICKEYS MALT BEER BTL,Beer,34100774356,12 OZ,6-Pack,4.9,7.04,8
